"Experiment","Phase","Subject","Cue","CondType","Trials","Rating"
"Experiment 1","Phase 1","43","u","positive",2,51.5
"Experiment 1","Phase 1","44","u","positive",2,40
"Experiment 1","Phase 1","45","u","positive",2,62.5
"Experiment 1","Phase 1","46","u","positive",2,20.5
"Experiment 1","Phase 1","47","u","positive",2,-1.5
"Experiment 1","Phase 1","1","v","negative",2,-50
"Experiment 1","Phase 1","2","v","negative",2,25.5
"Experiment 1","Phase 1","3","v","negative",2,100
"Experiment 1","Phase 1","4","v","negative",2,-25.5
"Experiment 1","Phase 1","5","v","negative",2,-57.5
"Experiment 1","Phase 1","6","v","negative",2,-20
"Experiment 1","Phase 1","7","v","negative",2,-23
"Experiment 1","Phase 1","8","v","negative",2,-27.5
"Experiment 1","Phase 1","9","v","negative",2,0
"Experiment 1","Phase 1","10","v","negative",2,-20
"Experiment 1","Phase 1","11","v","negative",2,0
"Experiment 1","Phase 1","12","v","negative",2,-51
"Experiment 1","Phase 1","13","v","negative",2,30
"Experiment 1","Phase 1","14","v","negative",2,-21.5
"Experiment 1","Phase 1","15","v","negative",2,-7
"Experiment 1","Phase 1","16","v","negative",2,50
"Experiment 1","Phase 1","17","v","negative",2,-23.5
"Experiment 1","Phase 1","18","v","negative",2,-10
"Experiment 1","Phase 1","19","v","negative",2,13.5
"Experiment 1","Phase 1","20","v","negative",2,-84.5
"Experiment 1","Phase 1","21","v","negative",2,0
"Experiment 1","Phase 1","22","v","negative",2,-80
"Experiment 1","Phase 1","23","v","negative",2,-82.5
"Experiment 1","Phase 1","24","v","negative",2,-25
"Experiment 1","Phase 1","25","v","negative",2,-45.5
"Experiment 1","Phase 1","26","v","negative",2,-40
"Experiment 1","Phase 1","27","v","negative",2,-30
"Experiment 1","Phase 1","28","v","negative",2,-32.5
"Experiment 1","Phase 1","29","v","negative",2,-50
"Experiment 1","Phase 1","30","v","negative",2,-30.5
"Experiment 1","Phase 1","31","v","negative",2,-29.5
"Experiment 1","Phase 1","32","v","negative",2,30.5
"Experiment 1","Phase 1","33","v","negative",2,-29.5
"Experiment 1","Phase 1","34","v","negative",2,-22
"Experiment 1","Phase 1","35","v","negative",2,20
"Experiment 1","Phase 1","36","v","negative",2,-6.5
"Experiment 1","Phase 1","37","v","negative",2,-40
"Experiment 1","Phase 1","38","v","negative",2,-20
"Experiment 1","Phase 1","39","v","negative",2,-80.5
"Experiment 1","Phase 1","40","v","negative",2,10
"Experiment 1","Phase 1","41","v","negative",2,-79.5
"Experiment 1","Phase 1","42","v","negative",2,-19.5
"Experiment 1","Phase 1","43","v","negative",2,-9.5
"Experiment 1","Phase 1","44","v","negative",2,-50
"Experiment 1","Phase 1","45","v","negative",2,-76
"Experiment 1","Phase 1","46","v","negative",2,-5.5
"Experiment 1","Phase 1","47","v","negative",2,-56
"Experiment 2","Phase 1","1","n","negative",2,-59
"Experiment 2","Phase 1","2","n","negative",2,-45
"Experiment 2","Phase 1","3","n","negative",2,-60
"Experiment 2","Phase 1","4","n","negative",2,-74
"Experiment 2","Phase 1","5","n","negative",2,-80
"Experiment 2","Phase 1","6","n","negative",2,51
"Experiment 2","Phase 1","7","n","negative",2,-21
"Experiment 2","Phase 1","8","n","negative",2,36
"Experiment 2","Phase 1","9","n","negative",2,-26
"Experiment 2","Phase 1","10","n","negative",2,-14
"Experiment 2","Phase 1","11","n","negative",2,-55
"Experiment 2","Phase 1","12","n","negative",2,-24
"Experiment 2","Phase 1","13","n","negative",2,-94
"Experiment 2","Phase 1","14","n","negative",2,-41
"Experiment 2","Phase 1","15","n","negative",2,-16
"Experiment 2","Phase 1","16","n","negative",2,-6
"Experiment 2","Phase 1","17","n","negative",2,-93
"Experiment 2","Phase 1","18","n","negative",2,-80
"Experiment 2","Phase 1","19","n","negative",2,-83
"Experiment 2","Phase 1","20","n","negative",2,-80
"Experiment 2","Phase 1","21","n","negative",2,-69
"Experiment 2","Phase 1","22","n","negative",2,-34
"Experiment 2","Phase 1","23","n","negative",2,-38
"Experiment 2","Phase 1","24","n","negative",2,17
"Experiment 2","Phase 1","25","n","negative",2,-63
