"phase","parPri","parPub","trial","rat","phaseNum","nRating","stim","nRat","rat0comp","spq","excInh","ctrlType"
"ph1",5885503,"wtlurck6",2,52,1,"ph1_1","E",1,52,72,"Inh","pre. (E & I)"
"ph1",5885503,"wtlurck6",3,64,1,"ph1_2","E",2,64,72,"Inh","pre. (E & I)"
"ph1",5885503,"wtlurck6",4,72,1,"ph1_2","I",2,-72,72,"Exc","pre. (E & I)"
"ph1",5885503,"wtlurck6",5,54,1,"ph1_4","E",4,54,72,"Inh","pre. (E & I)"
"ph1",5885503,"wtlurck6",6,28,1,"ph1_4","I",4,-28,72,"Exc","pre. (E & I)"
"ph1",5885503,"wtlurck6",7,-44,1,"ph1_8","I",8,44,72,"Exc","pre. (E & I)"
"ph1",5885503,"wtlurck6",8,30,1,"ph1_8","E",8,30,72,"Inh","pre. (E & I)"
"ph1",5885454,"gxmoo7p0",1,84,1,"ph1_1","I",1,-84,75,"Exc","pre. (E & I)"
"ph1",5885454,"gxmoo7p0",2,-20,1,"ph1_1","E",1,-20,75,"Inh","pre. (E & I)"
"ph1",5885454,"gxmoo7p0",3,-16,1,"ph1_2","E",2,-16,75,"Inh","pre. (E & I)"
"ph1",5885454,"gxmoo7p0",4,64,1,"ph1_2","I",2,-64,75,"Exc","pre. (E & I)"
"ph1",5885454,"gxmoo7p0",5,16,1,"ph1_4","E",4,16,75,"Inh","pre. (E & I)"
"ph1",5885454,"gxmoo7p0",6,-40,1,"ph1_4","I",4,40,75,"Exc","pre. (E & I)"
"ph1",5885454,"gxmoo7p0",7,86,1,"ph1_8","I",8,-86,75,"Exc","pre. (E & I)"
"ph1",5885454,"gxmoo7p0",8,8,1,"ph1_8","E",8,8,75,"Inh","pre. (E & I)"
"ph1",5885367,"bay5uh8d",1,56,1,"ph1_1","I",1,-56,97,"Exc","pre. (E & I)"
"ph1",5885367,"bay5uh8d",2,60,1,"ph1_1","E",1,60,97,"Inh","pre. (E & I)"
"ph1",5885367,"bay5uh8d",3,-56,1,"ph1_2","I",2,56,97,"Exc","pre. (E & I)"
"ph1",5885367,"bay5uh8d",4,56,1,"ph1_2","E",2,56,97,"Inh","pre. (E & I)"
"ph1",5885367,"bay5uh8d",5,40,1,"ph1_4","E",4,40,97,"Inh","pre. (E & I)"
"ph1",5885367,"bay5uh8d",6,44,1,"ph1_4","I",4,-44,97,"Exc","pre. (E & I)"
"ph1",5885367,"bay5uh8d",7,54,1,"ph1_8","E",8,54,97,"Inh","pre. (E & I)"
"ph1",5885367,"bay5uh8d",8,-50,1,"ph1_8","I",8,50,97,"Exc","pre. (E & I)"
"ph1",5885218,"i8kepgei",1,78,1,"ph1_1","I",1,-78,143,"Exc","pre. (E & I)"
"ph1",5885218,"i8kepgei",2,88,1,"ph1_1","E",1,88,143,"Inh","pre. (E & I)"
"ph1",5885218,"i8kepgei",3,80,1,"ph1_2","E",2,80,143,"Inh","pre. (E & I)"
"ph1",5885218,"i8kepgei",4,88,1,"ph1_2","I",2,-88,143,"Exc","pre. (E & I)"
"ph1",5885218,"i8kepgei",5,90,1,"ph1_4","I",4,-90,143,"Exc","pre. (E & I)"
"ph1",5885218,"i8kepgei",6,88,1,"ph1_4","E",4,88,143,"Inh","pre. (E & I)"
"ph1",5885218,"i8kepgei",7,94,1,"ph1_8","E",8,94,143,"Inh","pre. (E & I)"
"ph1",5885218,"i8kepgei",8,98,1,"ph1_8","I",8,-98,143,"Exc","pre. (E & I)"
"ph1",5885202,"7y1v9khg",1,0,1,"ph1_1","I",1,0,110,"Exc","pre. (E & I)"
"ph1",5885202,"7y1v9khg",2,0,1,"ph1_1","E",1,0,110,"Inh","pre. (E & I)"
"ph1",5885202,"7y1v9khg",3,-24,1,"ph1_2","E",2,-24,110,"Inh","pre. (E & I)"
